nr,population,name,med_inc2007,med_inc2008,med_inc2009,med_inc2010,med_inc2011,med_inc2012,trend,score
11,3164,Rathaus,50.20,48.00,47.30,47.20,47.75,49.10,48.71,44
12,673,Hochschulen,46.70,45.00,42.60,40.65,43.70,45.00,44.97,33
13,935,Lindenhof,60.00,56.70,56.65,57.05,58.95,56.50,58.38,75
14,799,City,49.00,46.00,40.00,42.90,40.90,38.60,47.50,40
21,16029,Wollishofen,47.10,46.60,45.00,46.10,46.80,46.60,46.42,37
23,5354,Leimbach,46.20,46.80,45.10,48.10,47.00,47.45,46.07,36
24,8702,Enge,57.70,54.90,52.50,55.50,56.70,55.20,55.71,66
31,16109,Alt-Wiedikon,47.10,46.90,45.00,47.10,48.70,48.70,46.14,36
33,10986,Friesenberg,42.00,41.20,40.00,40.80,41.50,41.60,41.20,21
34,20831,Sihlfeld,40.30,40.00,38.40,39.90,40.00,40.00,39.77,16
41,4195,Werd,42.30,40.80,40.00,41.30,42.80,41.60,41.20,21
42,10560,Langstrasse,36.40,36.70,35.80,37.60,37.90,38.10,36.09,5
44,12994,Hard,34.70,35.40,33.50,35.00,35.60,35.00,34.61,0
51,9824,Gewerbeschule,41.55,40.90,39.90,40.50,40.20,40.20,41.13,20
52,3343,Escher Wyss,54.15,53.55,50.80,54.50,54.00,52.75,53.43,59
61,21442,Unterstrass,48.30,48.10,45.50,47.80,48.70,47.90,47.57,41
63,10308,Oberstrass,58.00,55.90,54.30,56.30,58.25,57.70,56.20,68
71,7779,Fluntern,68.40,66.20,65.00,69.50,69.40,70.00,66.50,100
72,10447,Hottingen,58.90,56.40,55.15,57.90,60.00,59.55,56.78,70
73,7131,Hirslanden,51.60,50.10,49.90,50.00,51.70,52.90,50.22,49
74,10246,Witikon,57.00,55.40,54.80,55.90,58.10,58.00,55.52,66
81,4916,Seefeld,55.90,51.80,50.65,55.00,55.00,55.20,53.18,58
82,5745,Mühlebach,53.50,51.00,49.80,50.00,52.50,52.40,51.59,53
83,4783,Weinegg,52.00,52.40,50.40,52.60,53.05,51.60,51.85,54
91,18999,Albisrieden,45.40,45.60,44.90,46.30,47.00,47.30,45.00,33
92,31438,Altstetten,43.30,43.60,41.90,42.90,43.60,43.10,43.07,27
101,21537,Höngg,54.80,54.50,52.60,54.70,55.10,55.00,54.10,61
102,15791,Wipkingen,45.00,45.00,42.00,43.80,45.10,45.30,44.11,30
111,24855,Affoltern,44.00,44.20,42.90,43.90,44.60,44.50,43.68,28
115,21331,Oerlikon,47.60,47.40,44.80,46.00,46.50,46.50,46.97,39
119,23310,Seebach,41.80,41.60,40.00,40.80,41.00,41.10,41.37,21
121,7118,Saatlen,39.70,39.90,38.45,39.30,38.80,39.20,39.58,16
122,10934,Schwamendingen-Mitte,37.10,37.50,36.70,37.30,37.50,36.30,37.31,8
123,11404,Hirzenbach,37.70,37.80,36.00,36.80,36.90,36.70,37.48,9
,,,,,,,,min,34.61,
,,,,,,,,max,66.50,
,,,,,,,,diff,31.90,
